,mean,slp,chg,pvalue
01-01,0.379,-0.001,-0.052,0.963
01-02,0.379,-0.001,-0.048,0.861
01-03,0.378,-0.002,-0.078,0.771
01-04,0.387,-0.003,-0.134,0.683
01-05,0.386,-0.003,-0.137,0.552
01-06,0.388,-0.002,-0.099,0.65
01-07,0.388,-0.001,-0.053,0.6
01-08,0.419,-0.001,-0.038,0.492
01-09,0.379,-0.001,-0.038,0.545
01-10,0.379,-0.001,-0.038,0.435
01-11,0.338,-0.001,-0.057,0.334
01-12,0.349,-0.002,-0.065,0.279
01-13,0.349,-0.001,-0.044,0.376
01-14,0.38,-0.001,-0.029,0.507
01-15,0.36,-0.0,-0.017,0.65
01-16,0.37,0.0,0.0,0.753
01-17,0.34,0.0,0.0,0.916
01-18,0.38,0.0,0.0,0.861
01-19,0.37,0.0,0.0,0.861
01-20,0.38,0.0,0.0,0.898
01-21,0.38,0.0,0.0,0.798
01-22,0.37,0.0,0.0,0.771
01-23,0.37,0.0,0.0,0.753
01-24,0.36,0.0,0.0,0.807
01-25,0.35,0.0,0.0,0.753
01-26,0.37,0.0,0.0,0.916
01-27,0.35,0.0,0.0,0.843
01-28,0.34,0.0,0.0,0.735
01-29,0.38,0.0,0.0,0.683
01-30,0.39,0.0,0.0,0.972
01-31,0.379,-0.001,-0.026,0.522
02-01,0.378,-0.002,-0.071,0.258
02-02,0.378,-0.002,-0.072,0.239
02-03,0.378,-0.002,-0.078,0.239
02-04,0.368,-0.002,-0.08,0.311
02-05,0.369,-0.002,-0.067,0.334
02-06,0.379,-0.001,-0.052,0.477
02-07,0.369,-0.001,-0.048,0.522
02-08,0.37,-0.0,-0.016,0.789
02-09,0.39,0.0,0.0,0.991
02-10,0.38,0.001,0.021,0.972
02-11,0.37,0.0,0.0,0.916
02-12,0.37,0.0,0.0,0.825
02-13,0.37,0.0,0.0,0.88
02-14,0.36,-0.0,-0.015,0.616
02-15,0.38,0.0,0.0,0.65
02-16,0.38,0.001,0.023,0.807
02-17,0.38,0.0,0.0,0.568
02-18,0.38,0.0,0.0,0.633
02-19,0.379,-0.001,-0.038,0.463
02-20,0.369,-0.001,-0.053,0.6
02-21,0.369,-0.001,-0.061,0.771
02-22,0.359,-0.001,-0.056,0.633
02-23,0.369,-0.001,-0.048,0.484
02-24,0.378,-0.002,-0.084,0.514
02-25,0.378,-0.002,-0.086,0.477
02-26,0.367,-0.003,-0.128,0.449
02-27,0.356,-0.004,-0.185,0.322
02-28,0.347,-0.003,-0.137,0.357
03-01,0.367,-0.003,-0.128,0.345
03-02,0.376,-0.004,-0.168,0.166
03-03,0.393,-0.007,-0.28,0.064
03-04,0.382,-0.007,-0.297,0.059
03-05,0.393,-0.007,-0.284,0.071
03-06,0.523,-0.007,-0.306,0.121
03-07,0.493,-0.008,-0.319,0.159
03-08,0.504,-0.006,-0.269,0.188
03-09,0.484,-0.005,-0.229,0.249
03-10,0.494,-0.006,-0.246,0.289
03-11,0.485,-0.005,-0.21,0.268
03-12,0.496,-0.004,-0.184,0.345
03-13,0.568,-0.002,-0.065,0.65
03-14,0.58,0.0,0.0,0.825
03-15,0.671,0.001,0.038,0.898
