,mean,slp,chg,pvalue
01-01,3.96,0.05,2.1,0.225
01-02,4.87,0.02,0.854,0.665
01-03,4.56,0.062,2.625,0.109
01-04,4.87,0.075,3.15,0.091
01-05,4.44,0.059,2.482,0.209
01-06,4.24,0.057,2.386,0.288
01-07,3.99,0.046,1.942,0.225
01-08,3.34,0.033,1.37,0.34
01-09,3.2,0.017,0.7,0.41
01-10,3.11,0.02,0.84,0.114
01-11,2.91,0.009,0.385,0.461
01-12,4.47,0.095,4.01,0.027
01-13,4.22,0.097,4.086,0.011
01-14,3.54,0.063,2.634,0.076
01-15,3.62,0.016,0.66,0.68
01-16,3.59,0.037,1.55,0.516
01-17,3.23,0.043,1.79,0.153
01-18,3.37,0.049,2.042,0.109
01-19,4.27,0.021,0.884,0.713
01-20,3.34,0.021,0.876,0.665
01-21,3.25,-0.008,-0.328,0.516
01-22,2.83,-0.009,-0.38,0.812
01-23,3.17,0.024,0.987,0.713
01-24,3.42,0.023,0.962,0.26
01-25,4.58,0.071,2.966,0.039
01-26,3.74,0.013,0.56,0.217
01-27,3.88,0.01,0.432,0.516
01-28,3.88,0.007,0.31,0.603
01-29,3.37,0.007,0.3,0.603
01-30,3.25,0.021,0.9,0.386
01-31,3.17,0.001,0.046,0.53
02-01,3.34,-0.002,-0.102,0.665
02-02,4.61,-0.018,-0.77,0.363
02-03,4.9,-0.026,-1.092,0.488
02-04,4.39,-0.036,-1.508,0.488
02-05,4.16,0.003,0.12,0.845
02-06,3.88,0.026,1.076,0.53
02-07,4.53,0.094,3.966,0.016
02-08,5.01,0.119,4.988,0.087
02-09,4.61,0.109,4.59,0.069
02-10,3.96,0.078,3.28,0.056
02-11,4.13,0.053,2.24,0.544
02-12,4.73,0.051,2.132,0.329
02-13,4.27,0.053,2.247,0.308
02-14,4.39,0.048,2.018,0.34
02-15,4.05,0.043,1.794,0.374
02-16,4.7,0.06,2.52,0.329
02-17,4.9,0.048,2.014,0.423
02-18,4.87,0.034,1.442,0.845
02-19,4.7,-0.001,-0.026,0.588
02-20,5.86,-0.077,-3.225,0.009
02-21,5.21,-0.092,-3.878,0.079
02-22,5.55,-0.049,-2.048,0.233
02-23,6.31,-0.089,-3.746,0.193
02-24,6.76,-0.147,-6.16,0.308
02-25,7.84,-0.042,-1.786,0.729
02-26,8.01,-0.025,-1.05,0.897
02-27,7.56,0.057,2.38,0.193
02-28,6.85,0.01,0.42,0.762
03-01,6.17,0.014,0.596,0.696
03-02,6.08,0.034,1.436,0.225
03-03,5.41,0.039,1.62,0.186
03-04,5.49,0.002,0.084,0.795
03-05,6.82,-0.003,-0.136,0.812
03-06,7.16,-0.04,-1.68,0.931
03-07,7.78,-0.11,-4.62,0.308
03-08,6.11,-0.07,-2.94,0.516
03-09,5.58,-0.05,-2.1,0.502
03-10,5.6,-0.03,-1.244,0.965
03-11,5.72,-0.048,-2.004,0.812
03-12,5.83,-0.013,-0.552,0.983
03-13,5.58,-0.007,-0.28,0.931
03-14,5.63,0.006,0.236,0.879
03-15,5.89,-0.041,-1.736,0.308
03-16,5.52,-0.056,-2.356,0.129
03-17,4.9,-0.062,-2.594,0.019
03-18,5.46,-0.064,-2.684,0.146
03-19,6.62,0.0,0.0,0.812
03-20,6.06,0.028,1.158,0.845
