,mean,slp,chg,pvalue
01-01,2.986,0.007,0.303,0.611
01-02,2.98,0.007,0.301,0.333
01-03,2.944,0.009,0.373,0.2
01-04,3.025,0.01,0.42,0.333
01-05,2.952,0.012,0.499,0.333
01-06,2.848,0.012,0.483,0.287
01-07,2.956,0.014,0.579,0.183
01-08,2.936,0.014,0.571,0.153
01-09,2.862,0.015,0.639,0.183
01-10,2.83,0.014,0.57,0.175
01-11,2.716,0.011,0.467,0.191
01-12,2.784,0.009,0.385,0.345
01-13,2.759,0.009,0.392,0.333
01-14,2.724,0.013,0.543,0.175
01-15,2.567,0.011,0.468,0.287
01-16,2.662,0.012,0.491,0.384
01-17,2.754,0.013,0.555,0.266
01-18,2.651,0.014,0.582,0.168
01-19,2.659,0.013,0.538,0.183
01-20,2.571,0.011,0.448,0.217
01-21,2.515,0.01,0.42,0.2
01-22,2.554,0.012,0.519,0.1
01-23,2.592,0.015,0.616,0.07
01-24,2.573,0.015,0.644,0.053
01-25,2.476,0.014,0.573,0.07
01-26,2.45,0.013,0.543,0.073
01-27,2.397,0.011,0.48,0.116
01-28,2.354,0.013,0.538,0.066
01-29,2.397,0.014,0.608,0.042
01-30,2.528,0.015,0.646,0.04
01-31,2.468,0.012,0.506,0.077
02-01,2.244,0.003,0.108,0.358
02-02,2.278,0.006,0.231,0.287
02-03,2.338,0.008,0.35,0.14
02-04,2.319,0.013,0.53,0.086
02-05,2.325,0.01,0.42,0.2
02-06,2.338,0.012,0.513,0.122
02-07,2.322,0.012,0.493,0.105
02-08,2.27,0.016,0.681,0.062
02-09,2.334,0.016,0.664,0.037
02-10,2.292,0.015,0.616,0.031
02-11,2.321,0.014,0.578,0.045
02-12,2.314,0.012,0.519,0.082
02-13,2.358,0.015,0.638,0.059
02-14,2.33,0.017,0.696,0.022
02-15,2.346,0.011,0.45,0.105
02-16,2.34,0.01,0.437,0.116
02-17,2.392,0.011,0.463,0.095
02-18,2.333,0.009,0.37,0.175
02-19,2.294,0.002,0.099,0.425
02-20,2.263,0.002,0.084,0.468
02-21,2.328,0.002,0.09,0.578
02-22,2.334,0.003,0.114,0.514
02-23,2.328,0.005,0.215,0.287
02-24,2.314,0.006,0.258,0.183
02-25,2.343,0.005,0.203,0.333
02-26,2.308,0.005,0.224,0.287
02-27,2.294,0.002,0.095,0.529
02-28,2.268,0.002,0.077,0.561
03-01,2.304,0.003,0.119,0.663
03-02,2.408,0.002,0.103,0.545
03-03,2.376,0.001,0.022,0.809
03-04,2.46,0.0,0.0,0.79
03-05,2.495,0.003,0.121,0.514
03-06,2.448,0.002,0.105,0.483
03-07,2.392,0.005,0.202,0.483
03-08,2.409,0.006,0.238,0.425
03-09,2.356,0.004,0.156,0.514
03-10,2.464,0.006,0.231,0.411
03-11,2.51,0.007,0.278,0.321
03-12,2.486,0.007,0.283,0.439
03-13,2.535,0.007,0.278,0.255
03-14,2.752,0.011,0.469,0.298
03-15,2.735,0.013,0.56,0.147
03-16,2.772,0.015,0.629,0.134
03-17,2.756,0.014,0.584,0.226
03-18,2.787,0.011,0.478,0.175
03-19,2.8,0.011,0.443,0.191
03-20,2.846,0.007,0.295,0.246
03-21,2.854,0.009,0.373,0.333
03-22,2.842,0.008,0.334,0.371
03-23,2.983,0.009,0.368,0.345
03-24,3.096,0.007,0.297,0.425
03-25,2.865,0.01,0.42,0.255
03-26,2.815,0.01,0.42,0.2
03-27,2.941,0.011,0.454,0.321
03-28,3.044,0.013,0.54,0.298
03-29,3.044,0.016,0.661,0.345
03-30,3.405,0.027,1.114,0.105
03-31,3.363,0.029,1.202,0.175
04-01,3.478,0.032,1.365,0.161
04-02,3.685,0.024,0.988,0.545
04-03,4.37,0.01,0.42,0.923
04-04,4.2,0.02,0.84,1.0
04-05,4.135,0.013,0.554,0.961
04-06,4.188,0.012,0.505,0.79
04-07,4.466,0.014,0.595,0.611
