,mean,slp,chg,pvalue
01-01,0.161,0.0,0.018,0.68
01-02,0.172,0.001,0.029,0.577
01-03,0.16,0.0,0.0,0.762
01-04,0.15,0.0,0.017,0.653
01-05,0.15,0.0,0.0,0.903
01-06,0.16,0.0,0.0,0.961
01-07,0.16,0.0,0.0,0.818
01-08,0.151,0.001,0.024,0.602
01-09,0.18,0.0,0.0,0.865
01-10,0.17,0.0,0.0,0.799
01-11,0.18,0.0,0.0,1.0
01-12,0.18,0.0,0.0,0.952
01-13,0.16,0.0,0.0,1.0
01-14,0.18,0.0,0.0,0.837
01-15,0.17,0.0,0.0,0.78
01-16,0.17,0.0,0.0,0.913
01-17,0.18,0.0,0.0,0.942
01-18,0.18,0.0,0.0,0.894
01-19,0.18,0.0,0.0,0.818
01-20,0.18,0.0,0.0,0.761
01-21,0.18,0.0,0.015,0.698
01-22,0.19,0.0,0.0,0.894
01-23,0.189,-0.001,-0.024,0.734
01-24,0.19,0.0,0.0,0.942
01-25,0.19,0.0,0.0,0.961
01-26,0.19,0.0,0.0,1.0
01-27,0.182,0.001,0.033,0.611
01-28,0.181,0.0,0.016,0.78
01-29,0.2,0.0,0.0,0.961
01-30,0.169,-0.001,-0.03,0.49
01-31,0.18,0.0,0.0,0.894
02-01,0.18,0.0,0.0,0.875
02-02,0.172,0.001,0.025,0.645
02-03,0.181,0.001,0.026,0.753
02-04,0.2,0.0,0.0,0.932
02-05,0.21,0.0,0.0,0.942
02-06,0.21,0.0,0.0,0.904
02-07,0.212,0.001,0.033,0.594
02-08,0.21,0.0,0.0,0.78
02-09,0.2,0.0,0.019,0.753
02-10,0.22,0.0,0.013,0.762
02-11,0.19,0.0,0.0,0.904
02-12,0.192,0.001,0.033,0.707
02-13,0.192,0.001,0.038,0.521
02-14,0.18,0.001,0.021,0.671
02-15,0.181,0.0,0.018,0.698
02-16,0.182,0.001,0.031,0.716
02-17,0.171,0.001,0.03,0.602
02-18,0.189,-0.001,-0.022,0.725
02-19,0.188,-0.001,-0.035,0.585
02-20,0.209,-0.001,-0.028,0.753
02-21,0.216,-0.002,-0.073,0.467
02-22,0.196,-0.002,-0.09,0.286
02-23,0.196,-0.002,-0.095,0.249
02-24,0.219,-0.0,-0.018,0.762
02-25,0.238,-0.001,-0.035,0.552
02-26,0.194,-0.003,-0.105,0.195
02-27,0.203,-0.004,-0.15,0.094
02-28,0.206,-0.002,-0.084,0.345
03-01,0.237,-0.002,-0.079,0.339
03-02,0.235,-0.002,-0.098,0.235
03-03,0.226,-0.002,-0.09,0.417
03-04,0.243,-0.004,-0.15,0.153
03-05,0.234,-0.003,-0.105,0.321
03-06,0.227,-0.001,-0.06,0.505
03-07,0.224,-0.003,-0.105,0.309
03-08,0.204,-0.003,-0.124,0.149
03-09,0.242,-0.004,-0.16,0.16
03-10,0.234,-0.003,-0.113,0.216
03-11,0.262,-0.004,-0.168,0.056
03-12,0.243,-0.003,-0.14,0.104
03-13,0.243,-0.003,-0.14,0.085
03-14,0.234,-0.003,-0.124,0.048
03-15,0.246,-0.002,-0.084,0.281
03-16,0.237,-0.002,-0.073,0.357
03-17,0.234,-0.003,-0.12,0.183
03-18,0.224,-0.003,-0.105,0.23
03-19,0.242,-0.004,-0.172,0.038
03-20,0.241,-0.004,-0.184,0.046
03-21,0.222,-0.004,-0.147,0.085
03-22,0.223,-0.004,-0.15,0.046
03-23,0.223,-0.004,-0.15,0.044
03-24,0.233,-0.003,-0.131,0.073
03-25,0.233,-0.003,-0.135,0.069
03-26,0.223,-0.003,-0.131,0.097
03-27,0.254,-0.004,-0.147,0.136
03-28,0.244,-0.003,-0.133,0.104
03-29,0.211,-0.004,-0.18,0.022
03-30,0.244,-0.003,-0.128,0.149
03-31,0.237,-0.002,-0.07,0.446
04-01,0.244,-0.003,-0.12,0.235
04-02,0.234,-0.002,-0.105,0.24
04-03,0.231,-0.004,-0.186,0.088
04-04,0.22,-0.005,-0.21,0.046
04-05,0.224,-0.003,-0.12,0.071
04-06,0.226,-0.002,-0.099,0.16
04-07,0.216,-0.002,-0.08,0.221
04-08,0.226,-0.002,-0.097,0.183
04-09,0.248,-0.001,-0.053,0.52
04-10,0.25,0.0,0.0,0.932
04-11,0.248,-0.001,-0.053,0.505
04-12,0.256,-0.002,-0.08,0.446
04-13,0.256,-0.002,-0.084,0.431
04-14,0.25,0.0,0.0,0.961
04-15,0.252,0.001,0.037,0.771
04-16,0.24,0.0,0.011,0.894
04-17,0.239,-0.0,-0.014,0.865
04-18,0.252,0.001,0.053,0.628
04-19,0.244,0.002,0.088,0.397
04-20,0.232,0.001,0.047,0.637
04-21,0.231,0.001,0.035,0.628
04-22,0.252,0.001,0.033,0.698
04-23,0.264,0.002,0.084,0.396
04-24,0.244,0.002,0.079,0.26
04-25,0.22,0.0,0.0,0.952
04-26,0.24,-0.0,-0.013,0.904
04-27,0.23,0.0,0.0,0.981
04-28,0.25,0.0,0.0,0.942
04-29,0.28,0.0,0.0,0.961
04-30,0.266,0.003,0.115,0.468
05-01,0.28,0.0,0.0,0.99
05-02,0.252,0.001,0.053,0.79
05-03,0.264,0.002,0.077,0.603
05-04,0.277,-0.001,-0.06,0.681
05-05,0.251,0.0,0.016,0.865
05-06,0.284,0.002,0.084,0.498
05-07,0.284,0.002,0.084,0.431
05-08,0.272,0.001,0.049,0.753
05-09,0.273,0.001,0.056,0.698
05-10,0.264,0.002,0.073,0.521
05-11,0.314,0.002,0.084,0.645
05-12,0.314,0.002,0.089,0.513
05-13,0.32,0.005,0.229,0.24
05-14,0.314,0.002,0.084,0.645
05-15,0.281,0.0,0.016,0.78
05-16,0.222,0.001,0.044,0.744
05-17,0.267,-0.001,-0.06,0.663
05-18,0.226,-0.002,-0.097,0.49
05-19,0.247,-0.002,-0.07,0.663
05-20,0.283,0.001,0.06,0.689
05-21,0.279,-0.001,-0.028,0.865
05-22,0.248,-0.001,-0.025,0.744
05-23,0.33,0.0,0.0,0.952
05-24,0.344,0.002,0.081,0.553
05-25,0.284,0.002,0.077,0.505
05-26,0.284,0.002,0.091,0.498
05-27,0.286,0.003,0.126,0.377
05-28,0.276,0.003,0.135,0.377
05-29,0.255,0.002,0.106,0.468
05-30,0.285,0.003,0.112,0.49
05-31,0.264,0.002,0.084,0.637
06-01,0.3,0.0,0.0,0.961
06-02,0.33,0.0,0.0,0.981
06-03,0.284,0.002,0.097,0.417
06-04,0.267,0.004,0.161,0.327
06-05,0.283,0.001,0.06,0.611
06-06,0.286,0.003,0.128,0.315
06-07,0.275,0.002,0.1,0.403
06-08,0.256,0.003,0.129,0.281
