,mean,slp,chg,pvalue
0,0.298,-0.001,-0.051,0.158
1,0.31,0.0,0.0,0.769
2,0.31,-0.0,-0.019,0.573
3,0.308,-0.001,-0.053,0.285
4,0.309,-0.001,-0.04,0.367
5,0.31,-0.0,-0.006,0.644
6,0.312,0.001,0.051,0.28
7,0.311,0.001,0.042,0.378
8,0.311,0.001,0.046,0.234
9,0.31,0.0,0.0,0.848
10,0.29,-0.0,-0.017,0.535
11,0.3,-0.0,-0.013,0.557
12,0.309,-0.001,-0.05,0.245
13,0.309,-0.001,-0.052,0.273
14,0.31,-0.001,-0.029,0.528
15,0.31,0.0,0.0,0.634
16,0.31,-0.001,-0.025,0.512
17,0.31,0.0,0.0,1.0
18,0.31,0.0,0.0,0.743
19,0.31,0.0,0.008,0.644
20,0.31,0.0,0.0,0.76
21,0.31,0.0,0.015,0.596
22,0.31,0.0,0.006,0.66
23,0.31,0.0,0.0,0.982
24,0.31,0.0,0.0,0.874
25,0.31,0.0,0.0,1.0
26,0.31,0.0,0.0,0.848
27,0.31,0.0,0.0,0.676
28,0.31,0.0,0.0,0.91
29,0.31,0.0,0.0,0.866
30,0.33,0.0,0.0,0.991
31,0.31,0.0,0.0,0.901
32,0.31,0.0,0.0,0.726
33,0.31,0.0,0.0,0.874
34,0.31,0.0,0.0,0.883
35,0.31,0.001,0.021,0.55
36,0.31,0.0,0.0,0.795
37,0.31,0.0,0.0,0.892
38,0.31,0.0,0.0,0.752
39,0.31,0.0,0.02,0.62
40,0.34,0.001,0.023,0.449
41,0.34,0.0,0.0,0.587
42,0.34,0.0,0.0,0.768
43,0.34,0.0,0.0,0.839
44,0.34,0.0,0.0,0.751
45,0.339,-0.001,-0.024,0.535
46,0.339,-0.001,-0.052,0.283
47,0.36,-0.0,-0.015,0.542
48,0.34,-0.0,-0.019,0.58
49,0.338,-0.002,-0.067,0.184
50,0.338,-0.002,-0.09,0.082
51,0.337,-0.003,-0.12,0.1
52,0.338,-0.002,-0.084,0.139
53,0.369,-0.002,-0.065,0.232
54,0.338,-0.002,-0.105,0.077
55,0.368,-0.002,-0.086,0.152
56,0.368,-0.003,-0.113,0.075
57,0.378,-0.002,-0.08,0.176
58,0.368,-0.002,-0.093,0.198
59,0.368,-0.002,-0.074,0.35
60,0.397,-0.002,-0.101,0.169
61,0.398,-0.002,-0.084,0.2
62,0.399,-0.001,-0.052,0.398
63,0.399,-0.001,-0.05,0.373
64,0.4,0.0,0.0,1.0
65,0.42,0.0,0.0,0.991
66,0.429,-0.001,-0.038,0.597
67,0.438,-0.002,-0.07,0.399
68,0.478,-0.002,-0.084,0.374
69,0.558,-0.002,-0.074,0.472
70,0.538,-0.001,-0.053,0.637
71,0.558,-0.001,-0.049,0.753
72,0.59,0.0,0.009,0.848
73,0.522,0.002,0.075,0.458
74,0.483,0.003,0.116,0.295
75,0.595,0.005,0.206,0.118
76,0.546,0.006,0.235,0.11
77,0.624,0.004,0.161,0.173
78,0.652,0.002,0.067,0.744
79,0.622,0.002,0.089,0.559
80,0.656,0.005,0.227,0.103
81,0.664,0.005,0.189,0.252
82,0.652,0.001,0.051,0.745
83,0.641,0.001,0.046,0.779
84,0.641,0.001,0.036,0.613
85,0.621,0.002,0.073,0.629
86,0.613,0.004,0.149,0.306
87,0.656,0.006,0.25,0.042
88,0.658,0.007,0.311,0.03
89,0.688,0.008,0.315,0.038
90,0.736,0.005,0.225,0.167
91,0.764,0.004,0.149,0.551
92,0.821,0.001,0.046,0.866
93,0.771,0.001,0.042,0.805
94,0.76,0.001,0.035,0.884
95,0.932,0.001,0.061,0.893
96,0.963,0.003,0.12,0.669
97,1.056,0.006,0.273,0.351
98,1.222,0.002,0.07,0.805
99,1.19,0.0,0.0,0.919
100,1.24,0.0,0.0,0.946
101,1.252,0.001,0.057,0.728
102,1.185,-0.005,-0.2,0.613
103,1.352,-0.008,-0.353,0.406
104,1.345,-0.015,-0.618,0.238
105,1.366,-0.023,-0.967,0.099
106,1.473,-0.027,-1.149,0.048
107,1.61,-0.03,-1.26,0.058
108,1.68,-0.02,-0.84,0.178
109,1.69,-0.009,-0.399,0.59
110,1.946,-0.004,-0.151,0.849
111,2.114,0.004,0.174,0.813
112,2.45,0.001,0.023,0.973
113,2.228,-0.012,-0.504,0.5
114,2.572,-0.009,-0.365,0.59
115,2.252,-0.008,-0.347,0.637
116,2.322,-0.008,-0.34,0.678
117,2.73,-0.02,-0.84,0.375
118,3.027,-0.033,-1.386,0.154
119,3.012,-0.048,-2.005,0.086
120,3.094,-0.045,-1.901,0.121
121,2.979,-0.051,-2.154,0.135
122,3.144,-0.056,-2.345,0.09
123,3.64,-0.041,-1.707,0.118
124,3.871,-0.039,-1.655,0.243
125,3.541,-0.029,-1.216,0.381
126,3.484,-0.027,-1.123,0.393
127,3.318,-0.022,-0.941,0.387
128,3.292,-0.018,-0.768,0.574
129,3.069,-0.011,-0.45,0.814
130,3.072,-0.009,-0.367,0.694
131,3.198,-0.001,-0.051,0.946
132,3.231,-0.019,-0.798,0.582
133,3.321,-0.019,-0.8,0.559
134,3.496,-0.014,-0.58,0.703
135,3.768,-0.022,-0.935,0.621
136,3.479,-0.032,-1.327,0.357
137,3.326,-0.044,-1.857,0.217
138,3.374,-0.046,-1.928,0.16
139,3.397,-0.053,-2.222,0.127
140,3.245,-0.065,-2.712,0.101
141,2.964,-0.066,-2.77,0.044
142,2.8,-0.061,-2.547,0.059
143,2.919,-0.051,-2.132,0.111
144,2.844,-0.046,-1.938,0.103
145,2.704,-0.047,-1.959,0.086
146,2.613,-0.047,-1.99,0.052
147,2.25,-0.05,-2.091,0.049
148,2.212,-0.048,-2.002,0.071
149,2.042,-0.047,-1.991,0.041
150,1.962,-0.049,-2.049,0.049
151,1.86,-0.04,-1.68,0.065
152,1.626,-0.033,-1.405,0.135
153,1.716,-0.034,-1.421,0.101
154,1.601,-0.029,-1.218,0.164
155,1.451,-0.029,-1.226,0.174
156,1.509,-0.031,-1.283,0.135
157,1.364,-0.025,-1.069,0.132
158,1.245,-0.025,-1.042,0.138
159,1.197,-0.023,-0.966,0.127
160,1.369,-0.021,-0.87,0.099
161,1.349,-0.021,-0.88,0.092
162,1.181,-0.019,-0.808,0.078
163,1.024,-0.016,-0.681,0.088
164,0.963,-0.017,-0.7,0.116
165,0.946,-0.015,-0.613,0.116
166,0.896,-0.014,-0.571,0.17
167,0.848,-0.012,-0.499,0.17
168,0.809,-0.011,-0.466,0.138
169,0.77,-0.011,-0.451,0.144
170,0.75,-0.01,-0.42,0.127
171,0.701,-0.009,-0.378,0.118
172,0.672,-0.008,-0.355,0.144
173,0.642,-0.009,-0.367,0.132
174,0.649,-0.011,-0.45,0.099
175,0.64,-0.01,-0.428,0.124
176,0.582,-0.008,-0.35,0.17
177,0.6,-0.01,-0.42,0.09
178,0.571,-0.009,-0.396,0.106
179,0.531,-0.009,-0.36,0.101
180,0.532,-0.008,-0.35,0.098
181,0.503,-0.008,-0.325,0.108
182,0.524,-0.007,-0.283,0.144
183,0.515,-0.005,-0.218,0.225
184,0.506,-0.004,-0.17,0.334
185,0.477,-0.003,-0.14,0.515
186,0.447,-0.003,-0.126,0.507
187,0.446,-0.003,-0.135,0.412
188,0.456,-0.004,-0.168,0.28
189,0.477,-0.003,-0.132,0.425
190,0.428,-0.003,-0.119,0.399
191,0.456,-0.004,-0.155,0.445
192,0.426,-0.004,-0.176,0.381
193,0.446,-0.005,-0.207,0.256
194,0.476,-0.004,-0.187,0.306
195,0.427,-0.003,-0.132,0.405
196,0.446,-0.005,-0.201,0.174
197,0.444,-0.006,-0.26,0.089
198,0.444,-0.006,-0.237,0.167
199,0.438,-0.002,-0.075,0.669
200,0.426,-0.004,-0.155,0.323
201,0.447,-0.003,-0.116,0.465
202,0.424,-0.006,-0.26,0.17
203,0.415,-0.005,-0.216,0.234
204,0.438,-0.002,-0.071,0.613
205,0.418,-0.002,-0.073,0.605
206,0.427,-0.003,-0.124,0.412
207,0.478,-0.002,-0.086,0.514
208,0.446,-0.003,-0.131,0.339
209,0.448,-0.002,-0.087,0.551
210,0.448,-0.002,-0.072,0.711
211,0.478,-0.003,-0.123,0.451
212,0.478,-0.002,-0.105,0.362
213,0.479,-0.001,-0.061,0.485
214,0.419,-0.001,-0.056,0.425
215,0.428,-0.002,-0.063,0.529
216,0.399,-0.001,-0.025,0.636
217,0.399,-0.001,-0.06,0.514
218,0.408,-0.002,-0.076,0.357
219,0.378,-0.003,-0.111,0.28
220,0.367,-0.003,-0.132,0.15
221,0.393,-0.007,-0.28,0.014
222,0.394,-0.006,-0.25,0.016
223,0.364,-0.007,-0.273,0.011
224,0.362,-0.009,-0.369,0.006
225,0.354,-0.007,-0.283,0.006
226,0.334,-0.007,-0.275,0.003
227,0.365,-0.005,-0.216,0.009
228,0.346,-0.005,-0.191,0.021
229,0.354,-0.006,-0.235,0.005
230,0.366,-0.004,-0.187,0.039
231,0.396,-0.004,-0.18,0.016
232,0.366,-0.004,-0.18,0.043
233,0.375,-0.005,-0.222,0.036
234,0.394,-0.007,-0.275,0.015
235,0.363,-0.007,-0.296,0.005
236,0.363,-0.007,-0.28,0.008
237,0.334,-0.006,-0.271,0.022
238,0.377,-0.003,-0.128,0.192
239,0.356,-0.004,-0.174,0.057
240,0.336,-0.004,-0.168,0.048
241,0.366,-0.004,-0.162,0.077
242,0.338,-0.003,-0.113,0.163
243,0.337,-0.003,-0.14,0.044
244,0.327,-0.003,-0.112,0.035
245,0.338,-0.002,-0.093,0.126
246,0.318,-0.002,-0.071,0.241
247,0.338,-0.003,-0.105,0.134
248,0.336,-0.004,-0.157,0.015
249,0.336,-0.004,-0.16,0.03
250,0.307,-0.003,-0.126,0.051
251,0.308,-0.003,-0.105,0.11
252,0.308,-0.003,-0.123,0.07
253,0.308,-0.003,-0.105,0.176
254,0.298,-0.003,-0.111,0.146
255,0.287,-0.003,-0.112,0.112
256,0.309,-0.001,-0.042,0.581
257,0.308,-0.001,-0.061,0.38
258,0.299,-0.001,-0.056,0.35
259,0.278,-0.001,-0.061,0.327
260,0.308,-0.002,-0.063,0.274
261,0.288,-0.002,-0.075,0.188
262,0.278,-0.002,-0.076,0.169
263,0.279,-0.001,-0.048,0.379
264,0.28,-0.0,-0.012,0.727
265,0.279,-0.001,-0.024,0.604
266,0.279,-0.001,-0.04,0.431
267,0.279,-0.001,-0.048,0.374
268,0.278,-0.001,-0.057,0.237
269,0.279,-0.001,-0.06,0.29
270,0.309,-0.001,-0.05,0.38
271,0.308,-0.002,-0.07,0.22
272,0.308,-0.002,-0.092,0.15
273,0.289,-0.001,-0.058,0.246
274,0.288,-0.002,-0.099,0.129
275,0.288,-0.002,-0.093,0.15
276,0.308,-0.001,-0.051,0.471
277,0.339,-0.001,-0.042,0.551
278,0.33,0.0,0.0,0.973
279,0.34,0.0,0.0,0.928
280,0.31,-0.001,-0.025,0.719
281,0.31,-0.0,-0.017,0.668
282,0.31,-0.0,-0.017,0.727
283,0.308,-0.002,-0.07,0.362
284,0.306,-0.004,-0.149,0.143
285,0.307,-0.003,-0.118,0.22
286,0.308,-0.003,-0.111,0.275
287,0.307,-0.003,-0.134,0.134
288,0.308,-0.003,-0.111,0.166
289,0.308,-0.002,-0.086,0.275
290,0.309,-0.001,-0.06,0.431
291,0.308,-0.002,-0.074,0.296
292,0.308,-0.002,-0.071,0.305
293,0.308,-0.002,-0.07,0.339
294,0.31,0.0,0.0,0.848
295,0.34,-0.001,-0.037,0.637
296,0.339,-0.001,-0.054,0.457
297,0.338,-0.002,-0.063,0.251
298,0.308,-0.002,-0.077,0.224
299,0.308,-0.003,-0.113,0.051
300,0.308,-0.002,-0.1,0.075
301,0.307,-0.003,-0.124,0.033
302,0.306,-0.004,-0.15,0.02
303,0.308,-0.003,-0.113,0.03
304,0.307,-0.003,-0.13,0.028
305,0.318,-0.003,-0.107,0.067
306,0.328,-0.002,-0.101,0.06
307,0.308,-0.003,-0.105,0.06
308,0.308,-0.002,-0.099,0.053
309,0.308,-0.003,-0.111,0.036
310,0.307,-0.003,-0.134,0.016
311,0.306,-0.004,-0.149,0.006
312,0.308,-0.002,-0.105,0.039
313,0.308,-0.003,-0.105,0.031
314,0.307,-0.003,-0.126,0.045
315,0.307,-0.003,-0.108,0.056
316,0.308,-0.002,-0.105,0.163
317,0.308,-0.002,-0.068,0.233
318,0.308,-0.002,-0.07,0.246
319,0.308,-0.002,-0.086,0.211
320,0.308,-0.003,-0.115,0.108
321,0.336,-0.003,-0.133,0.103
322,0.278,-0.002,-0.072,0.188
323,0.31,0.0,0.0,0.982
324,0.308,-0.001,-0.057,0.418
325,0.308,-0.002,-0.07,0.344
326,0.308,-0.002,-0.084,0.169
327,0.298,-0.002,-0.09,0.098
328,0.308,-0.002,-0.084,0.117
329,0.308,-0.002,-0.069,0.172
330,0.288,-0.001,-0.049,0.315
331,0.278,-0.002,-0.079,0.12
332,0.308,-0.002,-0.097,0.071
333,0.309,-0.001,-0.044,0.32
334,0.29,0.0,0.0,0.743
335,0.31,0.0,0.0,0.804
336,0.31,0.0,0.0,0.735
337,0.309,-0.001,-0.042,0.444
338,0.308,-0.002,-0.076,0.149
339,0.308,-0.002,-0.071,0.231
340,0.329,-0.001,-0.032,0.41
341,0.309,-0.001,-0.04,0.373
342,0.279,-0.001,-0.032,0.43
343,0.279,-0.001,-0.046,0.367
344,0.31,-0.001,-0.025,0.512
345,0.31,-0.0,-0.006,0.71
346,0.31,-0.0,-0.016,0.62
347,0.309,-0.001,-0.04,0.417
348,0.308,-0.002,-0.073,0.111
349,0.288,-0.002,-0.074,0.084
350,0.278,-0.002,-0.082,0.142
351,0.308,-0.002,-0.074,0.169
