,mean,slp,chg,pvalue
01-01,1.13,-0.031,-1.322,0.07
01-02,1.26,-0.034,-1.44,0.088
01-03,1.42,-0.035,-1.49,0.079
01-04,1.42,-0.041,-1.74,0.06
01-05,1.58,-0.041,-1.702,0.06
01-06,1.84,-0.039,-1.652,0.064
01-07,1.77,-0.035,-1.47,0.094
01-08,1.75,-0.04,-1.68,0.08
01-09,1.8,-0.035,-1.455,0.1
01-10,1.86,-0.03,-1.26,0.134
01-11,1.67,-0.03,-1.26,0.167
01-12,1.5,-0.033,-1.394,0.152
01-13,1.49,-0.034,-1.432,0.098
01-14,1.53,-0.042,-1.744,0.042
01-15,1.58,-0.038,-1.586,0.043
01-16,1.56,-0.037,-1.56,0.038
01-17,1.49,-0.037,-1.575,0.053
01-18,1.32,-0.036,-1.53,0.061
01-19,1.39,-0.035,-1.488,0.058
01-20,1.45,-0.036,-1.512,0.077
01-21,1.48,-0.034,-1.44,0.098
01-22,1.48,-0.033,-1.386,0.105
01-23,1.56,-0.029,-1.216,0.114
01-24,1.72,-0.033,-1.4,0.092
01-25,1.74,-0.034,-1.422,0.08
01-26,1.75,-0.036,-1.528,0.057
01-27,1.7,-0.035,-1.47,0.067
01-28,1.64,-0.032,-1.328,0.116
01-29,1.75,-0.029,-1.208,0.129
01-30,1.67,-0.028,-1.166,0.18
01-31,1.7,-0.026,-1.092,0.164
02-01,1.64,-0.027,-1.12,0.129
02-02,1.67,-0.025,-1.036,0.114
02-03,1.71,-0.03,-1.244,0.079
02-04,1.83,-0.029,-1.236,0.119
02-05,1.84,-0.024,-1.002,0.18
02-06,1.84,-0.023,-0.98,0.174
02-07,1.82,-0.02,-0.852,0.167
02-08,1.75,-0.019,-0.798,0.241
02-09,1.82,-0.024,-0.986,0.205
02-10,1.9,-0.025,-1.042,0.209
02-11,1.99,-0.025,-1.066,0.154
02-12,2.0,-0.022,-0.928,0.158
02-13,1.92,-0.022,-0.934,0.164
02-14,1.98,-0.021,-0.902,0.194
02-15,2.0,-0.021,-0.866,0.213
02-16,2.02,-0.021,-0.888,0.272
02-17,2.24,-0.026,-1.102,0.167
02-18,2.2,-0.034,-1.428,0.1
02-19,2.21,-0.036,-1.494,0.069
02-20,2.18,-0.044,-1.834,0.041
02-21,2.18,-0.053,-2.21,0.017
02-22,2.12,-0.05,-2.1,0.012
02-23,2.18,-0.053,-2.232,0.019
02-24,2.21,-0.049,-2.072,0.02
02-25,2.18,-0.055,-2.294,0.021
02-26,2.13,-0.053,-2.24,0.023
02-27,2.14,-0.054,-2.286,0.024
02-28,2.18,-0.04,-1.68,0.039
03-01,2.07,-0.039,-1.628,0.074
03-02,1.75,-0.027,-1.116,0.336
03-03,1.81,-0.025,-1.07,0.42
03-04,1.5,-0.021,-0.878,0.516
03-05,1.44,-0.024,-1.02,0.47
03-06,1.29,-0.017,-0.735,0.451
03-07,1.24,-0.029,-1.23,0.276
03-08,1.2,-0.04,-1.68,0.187
03-09,1.1,-0.045,-1.874,0.174
03-10,1.38,-0.036,-1.522,0.167
03-11,1.37,-0.035,-1.456,0.127
03-12,1.33,-0.046,-1.938,0.088
03-13,1.36,-0.06,-2.502,0.098
03-14,1.44,-0.046,-1.928,0.18
03-15,1.39,-0.038,-1.596,0.217
03-16,1.39,-0.035,-1.47,0.164
03-17,1.39,-0.037,-1.572,0.205
03-18,1.08,-0.03,-1.26,0.124
03-19,1.16,-0.031,-1.294,0.155
03-20,1.1,-0.025,-1.05,0.194
03-21,1.22,-0.024,-0.998,0.286
03-22,1.3,-0.024,-1.012,0.174
03-23,1.21,-0.024,-1.024,0.3
03-24,1.25,-0.021,-0.864,0.31
