,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,0.00049525,-0.9789323750000001,0.04333003854688733,2.0,42.0,0.021,0.829,0.001,0.022
01-02,0.0005129374999999938,-1.0150060312499878,0.036995461424646825,2.0,42.0,0.022,0.884,0.0,0.022
01-03,0.0004373636363636364,-0.864745090909091,0.03502890044383755,2.0,42.0,0.018,0.747,0.001,0.019
01-04,0.0004716666666666667,-0.932768,0.032266693787277756,2.0,42.0,0.019,0.817,0.001,0.02
01-05,0.00048676,-0.96337162,0.02699124728911695,2.0,42.0,0.02,0.882,-0.0,0.02
01-06,0.0004716666666666667,-0.932485,0.01364352358600951,2.0,42.0,0.02,0.903,0.001,0.021
01-07,0.0004716666666666667,-0.9331925,0.011658160237895565,2.0,42.0,0.02,0.918,0.0,0.02
01-08,0.00043538461538461537,-0.8610710384615384,0.014525752851330287,2.0,42.0,0.018,0.805,0.001,0.019
01-09,0.0004042857142857144,-0.800020785714286,0.015929972781942414,2.0,42.0,0.017,0.758,0.0,0.017
01-10,0.00035375,-0.700248125,0.019551605658204574,2.0,42.0,0.015,0.672,-0.0,0.015
01-11,0.00020214285714287145,-0.40036414285717153,0.016208307639058894,2.0,42.0,0.008,0.372,-0.0,0.008
01-12,0.0001523846153846154,-0.3015800384615385,0.012820249231777492,2.0,42.0,0.006,0.285,-0.0,0.006
01-13,0.0001415,-0.28009925,0.012820249231777492,2.0,42.0,0.006,0.287,-0.0,0.006
01-14,0.00010884615384615384,-0.2155153846153846,0.013647320579557976,2.0,42.0,0.004,0.195,-0.0,0.004
01-15,9.433333333333323e-05,-0.1864969999999998,0.009981854805266588,3.0,42.0,0.004,0.203,0.0,0.004
01-16,1.3476190476190475e-05,-0.025389142857142857,0.012968998216379202,2.0,42.0,0.001,0.052,0.001,0.002
01-17,0.0,0.001415,0.0195598658421976,0.0,42.0,0.0,0.0,0.001,0.001
01-18,0.0,0.001415,0.02497672485461422,0.0,42.0,0.0,0.0,0.001,0.001
01-19,0.0,0.0015565,0.033377354678963744,0.0,42.0,0.0,0.0,0.002,0.002
01-20,0.0,0.001698,0.028806571079476928,0.0,42.0,0.0,0.0,0.002,0.002
01-21,0.0,0.0018394999999999501,0.025644297456796528,0.0,42.0,0.0,0.0,0.002,0.002
01-22,0.0,0.001981,0.03340070971508191,0.0,42.0,0.0,0.0,0.002,0.002
01-23,0.0,0.001981,0.03636023290035717,0.0,42.0,0.0,0.0,0.002,0.002
01-24,8.489999999999e-05,-0.16692754999998,0.037975802326064345,2.0,42.0,0.004,0.204,0.001,0.005
01-25,7.074999999999166e-05,-0.13792712499998333,0.04013067988730534,2.0,42.0,0.003,0.153,0.002,0.005
01-26,8.489999999999e-05,-0.16551254999998,0.03484988271743883,2.0,42.0,0.003,0.155,0.003,0.006
01-27,0.00010481481481481481,-0.20603972222222222,0.03796747066105666,2.0,42.0,0.005,0.25,0.001,0.006
01-28,0.00014149999999999165,-0.2800992499999833,0.02943658259643933,2.0,42.0,0.006,0.299,-0.0,0.006
01-29,7.447368421052632e-05,-0.14608013157894736,0.03206341762208487,2.0,42.0,0.003,0.158,0.001,0.004
01-30,0.0,0.00283,0.04176311588482151,0.0,42.0,0.0,0.0,0.003,0.003
01-31,0.0,0.001415,0.0406079878719523,0.0,42.0,0.0,0.0,0.001,0.001
02-01,0.0,0.000849,0.04794193747531983,0.0,42.0,0.0,0.0,0.001,0.001
02-02,0.0,0.001415,0.021425096970362878,0.0,42.0,0.0,0.0,0.001,0.001
02-03,0.0,0.001415,0.026518592534868546,0.0,42.0,0.0,0.0,0.001,0.001
02-04,0.0,0.001415,0.02639638169737668,0.0,42.0,0.0,0.0,0.001,0.001
02-05,0.00018866666666666668,-0.37440900000000005,0.013814612608379795,2.0,42.0,0.008,0.432,-0.001,0.007
02-06,0.0,0.0007075,0.028099551103205167,0.0,42.0,0.0,0.0,0.001,0.001
02-07,0.0,0.0007075,0.02568776977968512,0.0,42.0,0.0,0.0,0.001,0.001
02-08,0.0,0.0001415,0.024950652481879443,0.0,42.0,0.0,0.0,0.0,0.0
02-09,0.0,0.0,0.023410389487216632,0.0,42.0,0.0,0.0,0.0,0.0
02-10,0.0,0.0009905,0.015185034922353458,0.0,42.0,0.0,0.0,0.001,0.001
02-11,0.0,0.0009905,0.018947386101470398,0.0,42.0,0.0,0.0,0.001,0.001
02-12,0.0,0.001132,0.023513095674670748,0.0,42.0,0.0,0.0,0.001,0.001
02-13,0.0,0.0021225,0.020161367229809324,0.0,42.0,0.0,0.0,0.002,0.002
02-14,0.0,0.001415,0.022082571314444133,0.0,42.0,0.0,0.0,0.001,0.001
