,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,-0.00041776190476190483,0.8557987380952382,0.030691008464817315,-2.0,30.0,-0.017,-0.534,0.029,0.012
01-02,-0.0003700769230769231,0.7603556923076924,0.04299280271362815,-2.0,30.0,-0.016,-0.508,0.028,0.012
01-03,-0.0004328235294117647,0.8871217647058823,0.040546995728470536,-2.0,30.0,-0.019,-0.551,0.031,0.012
01-04,-0.00033294117647058815,0.686907588235294,0.021944419466062737,-2.0,30.0,-0.014,-0.424,0.028,0.014
01-05,-0.0003087272727272727,0.6355408181818181,0.07681620794814847,-1.0,30.0,-0.013,-0.048,0.025,0.012
01-06,-0.00049525,1.010840625,0.03653730215470552,-2.0,30.0,-0.021,-0.095,0.031,0.01
01-07,-0.0004952500000000252,1.0109821250000504,0.0269696806396158,-2.0,30.0,-0.021,-0.068,0.031,0.01
01-08,-0.0004952499999999999,1.0121141249999996,0.016876908744177577,-2.0,30.0,-0.021,-0.043,0.032,0.011
01-09,-0.0005188333333333168,1.0603774166666335,0.009080139049432168,-3.0,30.0,-0.022,-0.081,0.034,0.012
01-10,-0.0006199047619047666,1.2626920952381047,0.011190015873314918,-2.0,30.0,-0.026,-0.198,0.036,0.01
01-11,-0.00076409999999999,1.55187294999998,0.0016822570807393245,-3.0,30.0,-0.032,-0.084,0.04,0.008
01-12,-0.0008136249999999875,1.6507213124999751,0.0015912838140155205,-3.0,30.0,-0.035,-0.239,0.041,0.006
01-13,-0.0008489999999999991,1.7220549999999981,0.0003145527133894266,-3.0,30.0,-0.036,-0.209,0.042,0.006
01-14,-0.0008490000000000003,1.7220550000000006,0.0004398295318410739,-3.0,30.0,-0.036,-0.322,0.042,0.006
01-15,-0.00080183333333335,1.6275094166667001,0.00025669013961127085,-3.0,30.0,-0.034,-0.46,0.041,0.007
01-16,-0.000849,1.7220550000000001,0.0005942961397689128,-3.0,30.0,-0.036,-0.552,0.042,0.006
01-17,-0.0009143076923076923,1.8529642692307693,0.0005711263514349696,-3.0,30.0,-0.039,-0.408,0.044,0.005
01-18,-0.0007861111111111111,1.595994222222222,0.0009072419423483691,-3.0,30.0,-0.033,-0.095,0.04,0.007
01-19,-0.0008136250000000123,1.6511458125000245,0.0006690209379787149,-3.0,30.0,-0.034,-0.058,0.041,0.007
01-20,-0.0008961666666666666,1.8166005833333332,0.00040444661298444373,-3.0,30.0,-0.038,-0.177,0.043,0.005
