,mean,slp,chg,pvalue
01-01,1.278,0.002,0.07,0.497
01-02,1.354,0.001,0.049,0.762
01-03,1.392,-0.001,-0.05,0.603
01-04,1.415,-0.003,-0.14,0.391
01-05,1.407,-0.002,-0.066,0.621
01-06,1.446,-0.001,-0.029,0.886
01-07,1.443,-0.002,-0.078,0.684
01-08,1.43,0.0,0.0,0.915
01-09,1.43,-0.0,-0.019,0.956
01-10,1.623,-0.009,-0.368,0.079
01-11,1.595,-0.01,-0.406,0.029
01-12,1.694,-0.006,-0.247,0.135
01-13,1.932,-0.005,-0.207,0.468
01-14,2.073,-0.012,-0.489,0.06
01-15,1.981,-0.02,-0.859,0.021
01-16,2.06,-0.013,-0.552,0.12
01-17,2.384,-0.006,-0.254,0.305
01-18,2.258,-0.002,-0.067,0.793
01-19,2.189,0.011,0.444,0.12
01-20,2.164,0.011,0.463,0.108
01-21,2.126,0.006,0.26,0.312
01-22,2.096,0.003,0.137,0.727
01-23,2.103,0.001,0.054,0.886
01-24,2.14,-0.003,-0.146,0.814
01-25,2.178,-0.008,-0.353,0.351
01-26,2.412,-0.009,-0.359,0.19
01-27,2.304,-0.009,-0.386,0.101
01-28,2.292,-0.008,-0.325,0.139
01-29,2.462,-0.012,-0.489,0.165
01-30,2.449,-0.01,-0.404,0.351
01-31,2.396,-0.017,-0.726,0.229
02-01,2.564,-0.026,-1.109,0.038
02-02,2.415,-0.023,-0.98,0.077
02-03,2.384,-0.02,-0.829,0.061
02-04,2.28,-0.01,-0.42,0.244
02-05,2.454,-0.009,-0.397,0.46
02-06,2.576,-0.007,-0.304,0.743
02-07,2.352,-0.002,-0.063,0.744
02-08,2.404,-0.012,-0.517,0.421
02-09,2.52,-0.003,-0.14,0.704
02-10,2.533,-0.005,-0.222,0.823
02-11,2.685,-0.007,-0.28,0.67
02-12,2.72,-0.013,-0.547,0.384
02-13,2.732,-0.029,-1.199,0.202
02-14,2.726,-0.02,-0.853,0.205
02-15,2.753,-0.039,-1.624,0.001
02-16,3.292,-0.028,-1.168,0.203
02-17,2.862,-0.028,-1.189,0.041
02-18,2.693,-0.025,-1.062,0.044
02-19,2.748,-0.022,-0.928,0.036
02-20,2.861,-0.031,-1.286,0.009
02-21,2.79,-0.037,-1.536,0.007
02-22,3.735,-0.057,-2.382,0.023
02-23,4.004,-0.066,-2.751,0.013
02-24,4.137,-0.051,-2.154,0.013
02-25,3.888,-0.042,-1.779,0.017
02-26,3.615,-0.033,-1.402,0.027
02-27,3.568,-0.028,-1.185,0.036
02-28,3.444,-0.033,-1.391,0.024
03-01,3.542,-0.038,-1.594,0.009
03-02,3.686,-0.024,-1.016,0.036
03-03,3.569,-0.019,-0.81,0.039
03-04,3.515,-0.03,-1.27,0.003
03-05,3.509,-0.039,-1.65,0.0
03-06,3.58,-0.057,-2.391,0.0
03-07,3.465,-0.053,-2.23,0.0
03-08,3.383,-0.045,-1.894,0.0
03-09,3.636,-0.044,-1.863,0.0
03-10,3.472,-0.041,-1.723,0.008
03-11,3.448,-0.046,-1.919,0.017
03-12,3.609,-0.039,-1.657,0.005
03-13,3.804,-0.042,-1.78,0.003
03-14,3.824,-0.039,-1.637,0.098
03-15,3.902,-0.034,-1.447,0.148
03-16,3.898,-0.012,-0.491,0.453
03-17,3.766,-0.011,-0.463,0.273
03-18,3.692,-0.008,-0.317,0.559
03-19,3.644,-0.006,-0.273,0.539
03-20,3.603,-0.005,-0.228,0.818
03-21,3.842,0.005,0.224,0.785
03-22,3.904,0.001,0.033,1.0
03-23,3.909,-0.012,-0.524,0.31
03-24,3.848,-0.009,-0.377,0.469
03-25,3.724,-0.003,-0.129,0.684
03-26,3.79,-0.01,-0.414,0.397
03-27,3.783,-0.012,-0.506,0.336
03-28,3.641,-0.011,-0.467,0.414
03-29,3.712,-0.005,-0.205,0.553
03-30,3.86,0.003,0.144,0.758
03-31,3.697,-0.001,-0.062,0.905
