,mean,slp,chg,pvalue
0,0.312,0.002,0.088,0.666
1,0.311,0.001,0.056,0.825
2,0.311,0.001,0.046,0.843
3,0.291,0.001,0.024,0.991
4,0.28,0.001,0.025,0.88
5,0.26,0.0,0.0,0.963
6,0.25,0.0,0.0,0.926
7,0.24,0.0,0.0,0.675
8,0.23,0.0,0.0,0.991
9,0.25,0.0,0.0,0.807
10,0.27,0.001,0.031,0.843
11,0.25,0.001,0.031,0.753
12,0.242,0.001,0.049,0.789
13,0.25,0.0,0.021,0.916
14,0.241,0.001,0.054,0.789
15,0.232,0.002,0.078,0.522
16,0.252,0.002,0.102,0.552
17,0.252,0.002,0.075,0.6
18,0.24,0.001,0.031,0.807
19,0.26,0.0,0.0,0.916
20,0.288,-0.002,-0.066,1.0
21,0.338,-0.003,-0.107,0.735
22,0.288,-0.002,-0.091,0.825
23,0.308,-0.003,-0.115,0.701
24,0.308,-0.001,-0.055,0.916
25,0.258,-0.002,-0.065,0.898
26,0.34,-0.0,-0.02,0.898
27,0.28,0.0,0.0,0.991
28,0.338,-0.002,-0.07,0.395
29,0.416,-0.004,-0.155,0.449
30,0.336,-0.003,-0.147,0.477
31,0.308,-0.002,-0.103,0.683
32,0.369,-0.001,-0.04,0.683
33,0.4,0.0,0.0,0.898
34,0.4,0.001,0.033,0.807
35,0.4,0.0,0.0,0.861
36,0.4,0.0,0.0,0.861
37,0.34,0.0,0.0,0.718
38,0.31,0.0,0.0,0.771
39,0.31,0.0,0.0,0.861
40,0.34,0.0,0.0,0.981
41,0.34,0.0,0.0,0.88
42,0.31,-0.0,-0.015,0.861
43,0.31,0.0,0.0,0.954
44,0.311,0.001,0.042,0.991
45,0.48,0.0,0.0,0.991
46,0.507,-0.003,-0.13,0.916
47,0.605,-0.004,-0.173,0.616
48,0.646,-0.005,-0.191,0.492
49,0.733,-0.007,-0.308,0.311
50,0.916,-0.013,-0.551,0.221
51,0.788,-0.012,-0.49,0.18
52,0.857,-0.022,-0.935,0.127
53,0.794,-0.026,-1.081,0.18
54,0.718,-0.022,-0.937,0.3
55,0.917,-0.013,-0.538,0.537
56,0.84,-0.01,-0.42,0.825
57,0.782,-0.008,-0.332,0.861
58,0.639,-0.011,-0.475,0.492
59,0.764,-0.006,-0.264,0.666
60,0.732,-0.008,-0.321,0.633
61,0.732,-0.008,-0.326,0.537
62,0.774,-0.016,-0.682,0.395
63,0.692,-0.018,-0.764,0.279
64,0.738,-0.022,-0.907,0.133
65,0.853,-0.027,-1.12,0.028
66,0.944,-0.016,-0.661,0.322
67,1.093,-0.007,-0.29,0.771
68,1.076,-0.004,-0.151,0.522
69,0.953,-0.007,-0.284,0.789
70,0.953,-0.007,-0.315,0.753
71,1.06,-0.01,-0.42,0.357
72,1.303,-0.016,-0.693,0.289
73,1.255,-0.015,-0.64,0.213
74,1.086,-0.014,-0.579,0.449
75,1.082,-0.018,-0.739,0.121
76,1.102,-0.029,-1.205,0.037
77,1.07,-0.03,-1.279,0.037
78,1.176,-0.014,-0.572,0.382
79,1.153,-0.007,-0.284,0.789
80,1.127,-0.003,-0.126,0.789
81,1.044,-0.006,-0.254,0.807
82,1.033,-0.016,-0.685,0.477
83,0.996,-0.024,-0.987,0.421
84,1.159,-0.031,-1.302,0.552
85,1.164,-0.016,-0.655,0.771
86,1.21,-0.01,-0.431,0.382
87,1.14,-0.01,-0.428,0.861
88,1.102,-0.027,-1.155,0.159
89,1.18,-0.01,-0.4,0.435
90,1.328,-0.032,-1.34,0.096
91,1.244,-0.036,-1.523,0.121
92,1.213,-0.037,-1.536,0.064
93,1.249,-0.03,-1.277,0.213
94,1.477,-0.024,-0.993,0.537
95,1.408,-0.023,-0.949,0.477
96,1.284,-0.016,-0.656,0.37
97,1.171,-0.019,-0.812,0.537
98,1.332,-0.028,-1.18,0.477
99,1.962,-0.018,-0.75,0.357
100,1.665,-0.035,-1.46,0.334
101,1.698,-0.032,-1.334,0.204
102,1.319,-0.041,-1.726,0.196
103,1.194,-0.026,-1.106,0.311
104,1.483,-0.017,-0.718,0.65
105,1.351,-0.009,-0.372,0.718
106,1.259,-0.011,-0.448,0.935
107,1.264,-0.005,-0.227,0.701
108,1.436,-0.005,-0.205,0.843
109,1.126,-0.005,-0.189,1.0
110,1.282,-0.018,-0.745,0.522
111,1.182,-0.009,-0.361,0.916
112,1.13,0.001,0.027,0.735
113,1.104,0.004,0.166,0.492
114,1.107,0.007,0.288,0.463
115,1.09,0.011,0.451,0.18
116,1.28,0.01,0.42,0.268
117,1.388,0.008,0.334,0.683
118,1.58,0.02,0.83,0.311
119,1.291,0.021,0.888,0.289
120,1.24,0.02,0.83,0.334
121,1.513,0.013,0.564,0.311
122,1.465,0.015,0.63,0.116
123,1.442,0.012,0.483,0.382
124,1.397,0.007,0.3,0.492
125,1.292,-0.008,-0.342,0.65
126,1.824,0.014,0.572,0.735
127,1.66,0.02,0.846,0.463
128,1.6,0.021,0.875,0.421
129,1.462,0.021,0.901,0.408
130,1.745,0.025,1.048,0.463
131,1.502,0.011,0.483,0.954
132,1.312,0.013,0.531,0.477
133,1.56,0.0,0.0,0.991
134,1.418,-0.003,-0.105,0.584
135,1.36,0.0,0.0,0.675
136,1.158,-0.002,-0.084,0.6
137,1.076,-0.014,-0.576,0.11
138,1.096,-0.004,-0.155,0.789
139,1.116,-0.004,-0.172,0.522
140,1.305,-0.005,-0.206,0.843
141,1.044,-0.006,-0.233,0.954
142,1.012,-0.008,-0.315,0.666
143,0.972,0.012,0.519,0.408
144,1.312,0.012,0.512,0.616
145,1.346,0.016,0.676,0.633
146,1.37,0.009,0.385,0.935
147,1.488,0.017,0.731,0.507
148,1.537,0.007,0.284,0.916
149,1.42,0.001,0.033,0.825
150,1.278,0.008,0.35,0.666
151,0.93,0.021,0.877,0.322
152,0.834,0.014,0.603,0.477
153,1.371,0.011,0.48,0.954
