,mean,slp,chg,pvalue
01-01,13.264,0.293,12.301,0.031
01-02,12.965,0.293,12.31,0.036
01-03,12.832,0.286,12.026,0.029
01-04,12.486,0.257,10.8,0.043
01-05,13.448,0.25,10.479,0.026
01-06,13.007,0.241,10.138,0.036
01-07,12.653,0.231,9.686,0.039
01-08,12.274,0.195,8.182,0.029
01-09,12.094,0.219,9.188,0.02
01-10,11.844,0.209,8.775,0.031
01-11,11.436,0.187,7.865,0.05
01-12,11.029,0.166,6.964,0.062
01-13,10.962,0.172,7.238,0.062
01-14,10.482,0.154,6.483,0.067
01-15,10.632,0.162,6.82,0.05
01-16,10.422,0.156,6.571,0.036
01-17,10.232,0.152,6.398,0.05
01-18,10.413,0.163,6.83,0.043
01-19,10.229,0.166,6.962,0.062
01-20,9.961,0.164,6.9,0.05
01-21,9.67,0.154,6.47,0.05
01-22,9.306,0.143,6.021,0.062
01-23,9.108,0.132,5.525,0.083
01-24,9.111,0.142,5.972,0.108
01-25,9.348,0.14,5.869,0.062
01-26,9.222,0.166,6.988,0.029
01-27,9.475,0.153,6.426,0.05
01-28,9.561,0.156,6.562,0.054
01-29,9.344,0.149,6.255,0.083
01-30,9.05,0.14,5.883,0.108
01-31,9.093,0.125,5.232,0.116
02-01,9.104,0.113,4.74,0.14
02-02,8.926,0.107,4.509,0.168
02-03,8.528,0.088,3.68,0.212
02-04,8.364,0.075,3.142,0.685
02-05,8.061,0.062,2.615,0.661
02-06,7.79,0.05,2.1,0.733
02-07,7.644,0.055,2.304,0.733
02-08,7.568,0.06,2.502,0.709
02-09,7.482,0.064,2.709,0.57
02-10,7.707,0.059,2.494,0.685
02-11,7.868,0.062,2.589,0.685
02-12,7.674,0.049,2.055,0.833
02-13,7.174,0.045,1.885,0.833
02-14,7.031,0.038,1.604,0.833
02-15,7.071,0.036,1.52,0.91
02-16,7.124,0.045,1.879,0.987
02-17,7.258,0.048,2.001,0.91
02-18,7.281,0.048,2.027,0.858
02-19,7.172,0.056,2.37,0.709
02-20,7.05,0.06,2.518,0.615
02-21,7.216,0.061,2.571,0.57
02-22,7.136,0.063,2.652,0.527
02-23,7.023,0.064,2.709,0.615
02-24,6.765,0.055,2.31,0.615
02-25,6.608,0.048,1.996,0.685
02-26,6.557,0.049,2.072,0.709
02-27,6.533,0.049,2.04,0.615
02-28,6.52,0.054,2.263,0.661
03-01,6.674,0.059,2.477,0.486
03-02,6.693,0.067,2.796,0.506
03-03,6.544,0.069,2.888,0.427
03-04,6.427,0.065,2.745,0.355
03-05,6.687,0.063,2.66,0.39
03-06,6.791,0.054,2.276,0.446
03-07,6.753,0.053,2.208,0.427
03-08,7.067,0.059,2.494,0.277
03-09,7.443,0.097,4.056,0.123
03-10,7.722,0.104,4.384,0.132
03-11,8.21,0.098,4.113,0.108
03-12,8.174,0.099,4.155,0.089
03-13,7.82,0.104,4.373,0.089
03-14,7.48,0.094,3.953,0.14
03-15,7.411,0.074,3.12,0.168
03-16,7.333,0.077,3.218,0.132
03-17,7.228,0.074,3.089,0.095
03-18,7.494,0.081,3.389,0.108
03-19,7.808,0.084,3.514,0.108
03-20,7.968,0.084,3.512,0.101
03-21,8.894,0.083,3.483,0.116
03-22,8.736,0.061,2.565,0.158
03-23,8.612,0.042,1.782,0.307
03-24,8.518,0.026,1.078,0.372
03-25,9.434,0.027,1.126,0.466
03-26,10.407,0.042,1.743,0.446
03-27,11.106,-0.039,-1.623,0.884
03-28,11.392,-0.082,-3.433,0.638
03-29,12.708,-0.118,-4.974,0.527
03-30,13.748,-0.17,-7.155,0.661
03-31,16.777,-0.205,-8.596,0.884
04-01,16.745,-0.211,-8.862,0.935
04-02,18.586,-0.223,-9.365,0.91
04-03,18.873,-0.145,-6.111,0.733
04-04,21.231,-0.094,-3.938,0.593
04-05,25.694,0.039,1.633,0.833
04-06,29.813,-0.037,-1.565,0.961
04-07,30.243,-0.091,-3.836,0.961
04-08,30.402,-0.099,-4.179,0.987
04-09,29.974,-0.105,-4.425,0.961
04-10,31.8,-0.1,-4.2,0.858
04-11,32.329,-0.074,-3.116,0.961
04-12,36.888,0.118,4.943,0.961
04-13,49.034,-0.053,-2.238,0.935
04-14,46.27,-0.086,-3.617,0.91
04-15,54.094,-0.181,-7.613,0.961
04-16,61.082,-0.244,-10.233,0.808
04-17,67.048,-0.331,-13.883,0.593
04-18,73.696,-0.221,-9.271,0.758
04-19,93.637,-0.193,-8.088,0.858
04-20,98.858,0.152,6.37,0.884
04-21,98.086,0.217,9.124,0.935
04-22,109.982,0.996,41.851,0.549
04-23,130.69,1.738,72.995,0.212
04-24,141.25,2.05,86.105,0.054
04-25,163.231,2.646,111.143,0.013
04-26,148.248,2.049,86.079,0.083
04-27,165.5,0.5,21.0,0.339
04-28,149.67,-0.466,-19.575,0.783
04-29,167.348,-0.131,-5.483,0.808
04-30,158.887,-0.423,-17.75,0.91
05-01,168.022,-0.396,-16.617,0.758
05-02,174.83,0.366,15.375,0.527
05-03,181.132,1.226,51.513,0.224
05-04,179.257,1.451,60.958,0.123
05-05,176.428,1.886,79.196,0.083
05-06,177.09,1.618,67.958,0.123
05-07,165.844,0.969,40.688,0.263
05-08,156.092,1.218,51.167,0.25
05-09,143.391,0.878,36.884,0.506
05-10,145.023,1.005,42.19,0.685
05-11,138.774,0.955,40.103,0.466
05-12,123.85,0.57,23.94,0.593
05-13,107.56,0.112,4.704,0.961
05-14,98.292,-0.282,-11.833,0.709
05-15,82.271,-0.306,-12.842,0.709
05-16,76.742,-0.212,-8.89,0.593
05-17,72.71,-0.138,-5.796,0.833
05-18,71.388,-0.222,-9.342,0.733
05-19,69.41,-0.118,-4.951,0.709
