,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,0.0005659999999999832,-1.0496469999999665,0.6334724060856933,0.0,43.0,0.024,0.089,0.07,0.094
01-02,0.0013442500000000006,-2.5832240000000013,0.36264285850970546,0.0,43.0,0.057,0.183,0.077,0.134
01-03,0.0011855405405405402,-2.2488250810810806,0.20870397233082194,0.0,43.0,0.05,0.2,0.097,0.147
01-04,0.000936076923076923,-1.7898008461538462,0.1861143787191537,0.0,43.0,0.039,0.216,0.063,0.102
01-05,0.000672125,-1.2452,0.8115533673850392,0.0,43.0,0.028,0.187,0.085,0.113
01-06,0.0005417428571428571,-0.9929257142857142,0.7287442378062505,0.0,43.0,0.023,0.191,0.079,0.102
01-07,0.0001286363636363636,-0.1596377272727272,0.6334724060856933,0.0,43.0,0.005,0.031,0.095,0.1
01-08,-0.0002830000000000001,0.6622200000000003,0.2689803649247009,-0.0,43.0,-0.012,-0.063,0.102,0.09
01-09,-6.738095238095698e-05,0.222491904761914,0.9654228872862332,-0.0,43.0,-0.003,-0.019,0.089,0.086
01-10,-0.0003127894736842158,0.7082149473684317,0.5730643403857183,-0.0,43.0,-0.013,-0.045,0.089,0.076
01-11,-0.0004103500000000003,0.9002230000000006,0.7287442378062505,-0.0,43.0,-0.017,-0.062,0.088,0.071
01-12,-0.00018866666666666646,0.45317733333333293,0.7125218881022106,-0.0,43.0,-0.008,-0.047,0.08,0.072
01-13,-0.0009056,1.897232,0.6334724060856933,-0.0,43.0,-0.038,-0.161,0.105,0.067
01-14,-0.0012577777777777774,2.6202655555555547,0.6029278873524366,-0.0,43.0,-0.053,-0.334,0.131,0.078
01-15,-0.0012381250000000057,2.5716210000000115,0.4101432374855567,-0.0,43.0,-0.052,-0.381,0.121,0.069
01-16,-0.001361095238095233,2.806807476190466,0.42257215707244233,-0.0,43.0,-0.057,-0.384,0.113,0.056
01-17,-0.0012532857142857172,2.5858114285714344,0.32937921868675035,-0.0,43.0,-0.053,-0.432,0.106,0.053
